Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -4182.9405   -4182.9405       0.0000     0.0
0.0005       -4182.9363   -4182.9469       0.0107    11.8
0.0010       -4182.9261   -4182.9636       0.0375    41.4
0.0015       -4182.9219   -4182.9878       0.0659    72.8
0.0020       -4182.9244   -4183.0163       0.0918   101.5
0.0025       -4182.9383   -4183.0477       0.1094   120.9
0.0030       -4182.9290   -4183.0827       0.1537   169.9
0.0035       -4182.9141   -4183.1206       0.2065   228.2
0.0040       -4182.8892   -4183.1602       0.2710   299.5
0.0045       -4182.9052   -4183.1978       0.2926   323.4
0.0050       -4182.9142   -4183.2325       0.3182   351.7
0.0055       -4182.9324   -4183.2662       0.3338   368.9
0.0060       -4182.9194   -4183.2972       0.3778   417.6
0.0065       -4182.9558   -4183.3255       0.3697   408.6
0.0070       -4182.9520   -4183.3507       0.3986   440.6
0.0075       -4182.9845   -4183.3732       0.3887   429.6
0.0080       -4182.9862   -4183.3930       0.4068   449.6
0.0085       -4182.9928   -4183.4106       0.4177   461.7
0.0090       -4182.9635   -4183.4301       0.4666   515.6
0.0095       -4183.0023   -4183.4480       0.4457   492.6
0.0100       -4183.0206   -4183.4601       0.4395   485.7
0.0105       -4183.0521   -4183.4693       0.4172   461.1
0.0110       -4183.0562   -4183.4770       0.4208   465.0
0.0115       -4183.0667   -4183.4819       0.4152   458.8
0.0120       -4183.0544   -4183.4861       0.4317   477.1
0.0125       -4183.0557   -4183.4922       0.4365   482.4
0.0130       -4183.0562   -4183.5003       0.4441   490.8
0.0135       -4183.0631   -4183.5104       0.4473   494.3
0.0140       -4183.0705   -4183.5215       0.4510   498.4
0.0145       -4183.0949   -4183.5350       0.4401   486.4
0.0150       -4183.0673   -4183.5499       0.4826   533.4
0.0155       -4183.0931   -4183.5617       0.4686   517.9
0.0160       -4183.1067   -4183.5694       0.4628   511.5
0.0165       -4183.1104   -4183.5738       0.4634   512.2
0.0170       -4183.1351   -4183.5776       0.4425   489.0
0.0175       -4183.1193   -4183.5831       0.4638   512.6
0.0180       -4183.1326   -4183.5916       0.4590   507.2
0.0185       -4183.1831   -4183.6024       0.4194   463.5
0.0190       -4183.1725   -4183.6157       0.4432   489.9
0.0195       -4183.1715   -4183.6305       0.4590   507.3
0.0200       -4183.1799   -4183.6443       0.4644   513.2
0.0205       -4183.1761   -4183.6551       0.4790   529.4
0.0210       -4183.1727   -4183.6627       0.4899   541.4
0.0215       -4183.1516   -4183.6701       0.5185   573.0
0.0220       -4183.1415   -4183.6763       0.5348   591.1
0.0225       -4183.1357   -4183.6818       0.5461   603.6
0.0230       -4183.1269   -4183.6881       0.5612   620.2
0.0235       -4183.1450   -4183.6927       0.5477   605.3
0.0240       -4183.2030   -4183.6987       0.4957   547.8
0.0245       -4183.2103   -4183.7048       0.4946   546.6
0.0250       -4183.1933   -4183.7128       0.5195   574.1
0.0255       -4183.1971   -4183.7216       0.5244   579.6
0.0260       -4183.1978   -4183.7289       0.5311   586.9
0.0265       -4183.2052   -4183.7344       0.5292   584.8
0.0270       -4183.1985   -4183.7378       0.5394   596.1
0.0275       -4183.1642   -4183.7370       0.5729   633.1
0.0280       -4183.1577   -4183.7318       0.5741   634.5
0.0285       -4183.1619   -4183.7230       0.5611   620.2
0.0290       -4183.1643   -4183.7100       0.5457   603.1
0.0295       -4183.1746   -4183.6936       0.5189   573.5
0.0300       -4183.1627   -4183.6751       0.5124   566.3
0.0305       -4183.1756   -4183.6571       0.4815   532.1
0.0310       -4183.1572   -4183.6388       0.4817   532.4
0.0315       -4183.1347   -4183.6190       0.4842   535.2
0.0320       -4183.1373   -4183.5975       0.4601   508.5
0.0325       -4183.1274   -4183.5739       0.4465   493.5
0.0330       -4183.1329   -4183.5472       0.4143   457.9
0.0335       -4183.1768   -4183.5196       0.3428   378.9
0.0340       -4183.1475   -4183.4929       0.3454   381.7
0.0345       -4183.1413   -4183.4672       0.3258   360.1
0.0350       -4183.1389   -4183.4450       0.3061   338.3
0.0355       -4183.1263   -4183.4271       0.3008   332.4
0.0360       -4183.1351   -4183.4137       0.2787   308.0
0.0365       -4183.1387   -4183.4029       0.2641   291.9
0.0370       -4183.1579   -4183.3958       0.2379   263.0
0.0375       -4183.1567   -4183.3918       0.2350   259.7
