Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -24729.1615  -24729.1615       0.0000     0.0
0.0005      -24729.1505  -24729.1726       0.0222     5.7
0.0010      -24729.1367  -24729.2112       0.0746    19.2
0.0015      -24729.1164  -24729.2750       0.1586    40.9
0.0020      -24729.1154  -24729.3154       0.2000    51.6
0.0025      -24729.1041  -24729.2597       0.1557    40.1
0.0030      -24729.0971  -24729.1654       0.0684    17.6
0.0035      -24729.0831  -24729.1620       0.0790    20.4
0.0040      -24729.0835  -24729.2451       0.1616    41.7
0.0045      -24729.0750  -24729.3034       0.2284    58.9
0.0050      -24729.0655  -24729.2669       0.2014    51.9
0.0055      -24729.0583  -24729.2001       0.1417    36.6
0.0060      -24729.0492  -24729.1519       0.1028    26.5
0.0065      -24729.0384  -24729.1341       0.0957    24.7
0.0070      -24729.0297  -24729.1447       0.1151    29.7
0.0075      -24729.0216  -24729.1823       0.1607    41.4
0.0080      -24729.0308  -24729.2418       0.2111    54.4
0.0085      -24729.0315  -24729.2920       0.2605    67.2
0.0090      -24729.0180  -24729.2775       0.2595    66.9
0.0095      -24729.0083  -24729.2088       0.2005    51.7
0.0100      -24729.0090  -24729.2104       0.2015    52.0
0.0105      -24728.9966  -24729.3321       0.3355    86.5
0.0110      -24729.0031  -24729.4709       0.4678   120.6
0.0115      -24729.0119  -24729.4731       0.4612   118.9
0.0120      -24728.9925  -24729.2812       0.2886    74.4
0.0125      -24728.9801  -24729.1169       0.1368    35.3
0.0130      -24728.9903  -24729.1663       0.1760    45.4
0.0135      -24729.0154  -24729.3414       0.3261    84.1
0.0140      -24729.0206  -24729.4269       0.4063   104.8
0.0145      -24729.0239  -24729.4110       0.3871    99.8
0.0150      -24728.9980  -24729.3679       0.3700    95.4
0.0155      -24728.9745  -24729.2837       0.3091    79.7
0.0160      -24728.9547  -24729.1842       0.2295    59.2
0.0165      -24728.9705  -24729.1448       0.1743    45.0
0.0170      -24728.9706  -24729.1816       0.2110    54.4
0.0175      -24728.9734  -24729.2242       0.2508    64.7
0.0180      -24728.9660  -24729.2137       0.2477    63.9
0.0185      -24728.9541  -24729.1742       0.2201    56.8
0.0190      -24728.9521  -24729.1550       0.2029    52.3
0.0195      -24728.9244  -24729.1769       0.2525    65.1
0.0200      -24728.9340  -24729.2417       0.3076    79.3
0.0205      -24728.9436  -24729.3296       0.3860    99.5
0.0210      -24728.9293  -24729.3834       0.4541   117.1
0.0215      -24728.9352  -24729.3530       0.4178   107.7
0.0220      -24728.9167  -24729.2897       0.3730    96.2
0.0225      -24728.9185  -24729.2357       0.3173    81.8
0.0230      -24728.9029  -24729.2044       0.3015    77.8
0.0235      -24728.8946  -24729.2336       0.3390    87.4
0.0240      -24728.9047  -24729.3264       0.4217   108.7
0.0245      -24728.8828  -24729.3963       0.5135   132.4
0.0250      -24728.8604  -24729.3544       0.4940   127.4
0.0255      -24728.8426  -24729.2611       0.4185   107.9
0.0260      -24728.7854  -24729.1939       0.4086   105.4
0.0265      -24728.7920  -24729.1609       0.3689    95.1
0.0270      -24728.8020  -24729.1590       0.3569    92.0
0.0275      -24728.8152  -24729.1841       0.3689    95.1
0.0280      -24728.8292  -24729.2170       0.3878   100.0
0.0285      -24728.8424  -24729.2233       0.3809    98.2
0.0290      -24728.8189  -24729.1915       0.3726    96.1
0.0295      -24728.8200  -24729.1513       0.3313    85.4
0.0300      -24728.7983  -24729.1510       0.3527    90.9
0.0305      -24728.8017  -24729.2096       0.4079   105.2
0.0310      -24728.8046  -24729.2972       0.4926   127.0
0.0315      -24728.8062  -24729.3743       0.5681   146.5
0.0320      -24728.8229  -24729.3833       0.5604   144.5
0.0325      -24728.7886  -24729.2625       0.4739   122.2
0.0330      -24728.7498  -24729.1041       0.3543    91.4
0.0335      -24728.7481  -24729.0835       0.3354    86.5
0.0340      -24728.7417  -24729.2295       0.4878   125.8
0.0345      -24728.7686  -24729.3700       0.6014   155.1
0.0350      -24728.7710  -24729.3450       0.5740   148.0
0.0355      -24728.7324  -24729.2008       0.4684   120.8
0.0360      -24728.7057  -24729.0823       0.3767    97.1
0.0365      -24728.6703  -24729.0556       0.3852    99.3
0.0370      -24728.6589  -24729.0917       0.4328   111.6
0.0375      -24728.6483  -24729.1126       0.4643   119.7
0.0380      -24728.6525  -24729.0846       0.4321   111.4
0.0385      -24728.6417  -24729.0386       0.3969   102.3
0.0390      -24728.6373  -24729.0130       0.3757    96.9
0.0395      -24728.6416  -24729.0188       0.3772    97.3
0.0400      -24728.6265  -24729.0636       0.4371   112.7
0.0405      -24728.6313  -24729.1281       0.4968   128.1
0.0410      -24728.6036  -24729.1854       0.5818   150.0
0.0415      -24728.5956  -24729.2107       0.6152   158.6
0.0420      -24728.6223  -24729.2073       0.5850   150.9
0.0425      -24728.6228  -24729.1769       0.5541   142.9
0.0430      -24728.6208  -24729.1160       0.4952   127.7
0.0435      -24728.5782  -24729.0660       0.4877   125.8
0.0440      -24728.5799  -24729.0769       0.4970   128.2
0.0445      -24728.5590  -24729.1466       0.5876   151.5
0.0450      -24728.5449  -24729.2353       0.6904   178.1
0.0455      -24728.5397  -24729.2698       0.7301   188.3
0.0460      -24728.5097  -24729.2286       0.7189   185.4
0.0465      -24728.5397  -24729.1579       0.6182   159.4
0.0470      -24728.5253  -24729.1067       0.5814   149.9
0.0475      -24728.5194  -24729.0813       0.5618   144.9
0.0480      -24728.4971  -24729.0800       0.5828   150.3
0.0485      -24728.4557  -24729.0940       0.6383   164.6
0.0490      -24728.4476  -24729.1109       0.6633   171.1
0.0495      -24728.4492  -24729.1301       0.6809   175.6
0.0500      -24728.4231  -24729.1537       0.7306   188.4
0.0505      -24728.3715  -24729.1699       0.7984   205.9
0.0510      -24728.3857  -24729.1321       0.7464   192.5
0.0515      -24728.3940  -24729.0254       0.6314   162.8
0.0520      -24728.3799  -24728.9122       0.5323   137.3
0.0525      -24728.3654  -24728.8788       0.5134   132.4
0.0530      -24728.3654  -24728.9477       0.5823   150.2
0.0535      -24728.3590  -24729.0823       0.7233   186.5
0.0540      -24728.3445  -24729.1808       0.8363   215.7
0.0545      -24728.3677  -24729.1662       0.7985   205.9
0.0550      -24728.3479  -24729.0820       0.7340   189.3
0.0555      -24728.3616  -24728.9914       0.6298   162.4
0.0560      -24728.3772  -24728.9197       0.5426   139.9
0.0565      -24728.3416  -24728.8714       0.5298   136.6
0.0570      -24728.3324  -24728.8473       0.5149   132.8
0.0575      -24728.3433  -24728.8439       0.5005   129.1
0.0580      -24728.3340  -24728.8558       0.5219   134.6
0.0585      -24728.3265  -24728.8793       0.5529   142.6
0.0590      -24728.3080  -24728.9140       0.6059   156.3
0.0595      -24728.2992  -24728.9575       0.6583   169.8
0.0600      -24728.2513  -24729.0165       0.7653   197.3
0.0605      -24728.2247  -24729.0895       0.8649   223.0
0.0610      -24728.2189  -24729.1479       0.9290   239.6
0.0615      -24728.2298  -24729.1437       0.9140   235.7
0.0620      -24728.2204  -24729.0517       0.8313   214.4
0.0625      -24728.2042  -24728.9403       0.7361   189.8
0.0630      -24728.1786  -24728.8876       0.7090   182.8
0.0635      -24728.1154  -24728.9176       0.8022   206.9
0.0640      -24728.0889  -24729.0044       0.9155   236.1
0.0645      -24728.0918  -24729.0809       0.9890   255.1
0.0650      -24728.0598  -24729.0953       1.0355   267.0
0.0655      -24728.0501  -24729.0540       1.0039   258.9
0.0660      -24728.1213  -24728.9970       0.8757   225.8
0.0665      -24728.0905  -24728.9351       0.8446   217.8
0.0670      -24728.0671  -24728.8725       0.8054   207.7
0.0675      -24728.0849  -24728.8209       0.7360   189.8
